id_partida,tick,tipo_evento,ganador_final,duracion_final,estrategia_j1,estrategia_j2,elixir_j1,elixir_j2,mano_j1,mano_j2,actor_evento,carta_usada,coste_carta,pos_x,pos_y,id_atacante,id_objetivo,dano_base,vida_restante_obj,id_entidad_destruida
partida_0,1,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,5,1,Bárbaros|Mini P.E.K.K.A|Arqueras|Gigante,Mago|Mago de Hielo|Bárbaros|Caballero,JUGADOR_2,Mini P.E.K.K.A,4,6,28,,,,,
partida_0,2,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,2,1,Bárbaros|Mini P.E.K.K.A|Gigante|Ejército de Esqueletos,Mago|Mago de Hielo|Bárbaros|Caballero,JUGADOR_1,Arqueras,3,3,0,,,,,
partida_0,4,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,0,2,Bárbaros|Mini P.E.K.K.A|Gigante|Valquiria,Mago|Mago de Hielo|Bárbaros|Caballero,JUGADOR_1,Ejército de Esqueletos,3,16,12,,,,,
partida_0,12,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,3,2,Bárbaros|Mini P.E.K.K.A|Gigante|Valquiria,Mago|Mago de Hielo|Bárbaros|Mosquetera,JUGADOR_2,Caballero,3,6,28,,,,,
partida_0,15,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,0,3,Bárbaros|Gigante|Valquiria|Mago,Mago|Mago de Hielo|Bárbaros|Mosquetera,JUGADOR_1,Mini P.E.K.K.A,4,14,13,,,,,
partida_0,21,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,2,2,Bárbaros|Gigante|Valquiria|Mago,Mago|Bárbaros|Mosquetera|Gigante,JUGADOR_2,Mago de Hielo,3,6,28,,,,,
partida_0,27,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,0,4,Bárbaros|Gigante|Mago|Mosquetera,Mago|Bárbaros|Mosquetera|Gigante,JUGADOR_1,Valquiria,4,12,11,,,,,
partida_0,30,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,1,0,Bárbaros|Gigante|Mago|Mosquetera,Mago|Bárbaros|Mosquetera|P.E.K.K.A,JUGADOR_2,Gigante,5,6,28,,,,,
partida_0,39,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,0,3,Bárbaros|Gigante|Mago|Arqueras,Mago|Bárbaros|Mosquetera|P.E.K.K.A,JUGADOR_1,Mosquetera,4,5,1,,,,,
partida_0,45,TROPA_DESPLEGADA,JUGADOR_1,180,EstrategiaMenorCosto,EstrategiaDefensiva,2,0,Bárbaros|Gigante|Mago|Arqueras,Bárbaros|Mosquetera|P.E.K.K.A|Mini P.E.K.K.A,JUGADOR_2,Mago,5,6,28,,,,,
