id_partida,segundo,jugador_id,tipo_evento,detalles
PARTIDA_0001_16964f7f,0,2,TROPA_DESPLEGADA,"Carta: Mosquetera (costo: 4) en (16,28)"
PARTIDA_0001_16964f7f,1,1,TROPA_DESPLEGADA,"Carta: Príncipe (costo: 5) en (6,2)"
PARTIDA_0001_16964f7f,5,2,TROPA_DESPLEGADA,"Carta: Ejército de Esqueletos (costo: 3) en (4,20)"
PARTIDA_0001_16964f7f,13,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
PARTIDA_0001_16964f7f,14,1,TROPA_DESPLEGADA,"Carta: Valquiria (costo: 4) en (6,2)"
PARTIDA_0001_16964f7f,15,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
PARTIDA_0001_16964f7f,16,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,17,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
PARTIDA_0001_16964f7f,17,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,18,2,TROPA_DESPLEGADA,"Carta: Valquiria (costo: 4) en (9,18)"
PARTIDA_0001_16964f7f,18,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,19,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
PARTIDA_0001_16964f7f,19,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,20,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,21,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
PARTIDA_0001_16964f7f,21,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,22,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,23,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
PARTIDA_0001_16964f7f,23,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,24,2,ATAQUE_REALIZADO,"Ejército de Esqueletos atacó a TorrePrincesa por 51 de daño"
PARTIDA_0001_16964f7f,25,1,ATAQUE_REALIZADO,"TorrePrincesa atacó a Ejército de Esqueletos por 42 de daño"
